id,duration,country
tt0020228,135,France
tt0020230,120,Soviet Union
tt0020232,96,Soviet Union
tt0020238,104,USA
tt0020247,76,USA
tt0020253,83,USA
tt0020269,92,UK
tt0020286,74,UK
tt0020293,67,Soviet Union
tt0020298,101,USA
tt0020305,68,USA
tt0020320,82,USA
tt0020332,140,USA
tt0020335,84,USA
tt0020336,96,USA
tt0020358,103,USA
tt0020359,84,USA
tt0020364,63,USA
tt0020388,72,USA
tt0020392,70,USA
tt0020402,147,USA
tt0020403,128,USA
tt0020405,84,USA
tt0020410,73,USA
tt0020425,98,USA
tt0020431,88,Germany
tt0020439,76,USA
tt0020442,76,USA
tt0020446,105,USA
tt0020451,121,Soviet Union
tt0020458,87,USA
tt0020461,62,USA
tt0020466,121,USA
tt0020475,104,Germany
tt0020479,63,USA
tt0020480,71,USA
tt0020488,65,USA
tt0020490,95,USA
tt0020492,72,USA
tt0020499,85,USA
tt0020502,73,USA
tt0020510,101,Japan
tt0020514,90,USA
tt0020534,94,USA
tt0020538,86,USA
tt0020542,65,USA
tt0020543,66,USA
tt0020547,151,France
tt0020556,91,USA
tt0020563,103,Japan
tt0020570,150,Germany
tt0020572,113,USA
tt0020581,65,USA
tt0020585,84,USA
tt0020589,100,USA
tt0020590,77,USA
tt0020608,102,Germany
tt0020613,75,USA
tt0020620,96,USA
tt0020629,136,USA
tt0020640,97,USA
tt0020641,89,USA
tt0020642,85,USA
tt0020656,85,France
tt0020661,63,USA
tt0020668,83,USA
tt0020670,65,USA
tt0020673,79,USA
tt0020679,65,USA
tt0020686,87,USA
tt0020690,72,USA
tt0020691,125,USA
tt0020693,98,USA
tt0020695,88,USA
tt0020697,104,Germany
tt0020701,63,UK
tt0020702,82,USA
tt0020713,69,USA
tt0020724,100,USA
tt0020740,65,USA
tt0020754,88,USA
tt0020758,77,USA
tt0020763,70,USA
tt0020768,77,USA
tt0020793,88,UK
tt0020799,97,USA
tt0020806,74,USA
tt0020814,86,France
tt0020815,108,USA
tt0020821,72,USA
tt0020823,80,USA
tt0020827,84,USA
tt0020828,100,USA
tt0020836,78,USA
tt0020838,79,USA
tt0020842,99,Germany
tt0020852,86,UK
tt0020869,66,USA
tt0020875,64,USA
tt0020876,93,USA
tt0020890,72,USA
tt0020891,79,USA
tt0020894,92,USA
tt0020896,65,USA
tt0020900,65,USA
tt0020902,92,USA
tt0020919,93,USA
tt0020924,68,USA
tt0020926,81,USA
tt0020929,90,USA
tt0020938,73,USA
tt0020945,78,USA
tt0020949,80,USA
tt0020959,93,USA
tt0020960,127,USA
tt0020966,85,USA
tt0020980,95,Japan
tt0020985,91,USA
tt0020987,75,USA
tt0021001,72,USA
tt0021013,120,UK
tt0021015,85,UK
tt0021016,113,USA
tt0021025,99,USA
tt0021040,99,USA
tt0021042,76,USA
tt0021044,92,USA
tt0021048,77,USA
tt0021053,85,USA
tt0021060,79,USA
tt0021061,77,USA
tt0021069,79,USA
tt0021070,70,USA
tt0021074,94,USA
tt0021079,79,USA
tt0021087,69,USA
tt0021090,80,USA
tt0021092,65,USA
tt0021094,80,USA
tt0021100,84,USA
tt0021102,65,USA
tt0021106,116,USA
tt0021110,84,USA
tt0021121,85,USA
tt0021128,78,Germany
tt0021132,69,USA
tt0021133,72,USA
tt0021134,66,USA
tt0021140,77,USA
tt0021148,69,USA
tt0021149,80,USA
tt0021152,89,USA
tt0021153,90,USA
tt0021156,92,USA
tt0021165,104,UK
tt0021178,78,USA
tt0021189,76,USA
tt0021191,69,USA
tt0021197,59,USA
tt0021216,62,USA
tt0021217,73,USA
tt0021223,102,USA
tt0021225,83,USA
tt0021228,86,USA
tt0021232,102,USA
tt0021239,67,USA
tt0021240,79,USA
tt0021247,84,France
tt0021263,66,USA
tt0021268,83,Soviet Union
tt0021273,93,France
tt0021276,88,USA
tt0021280,82,USA
tt0021281,72,USA
tt0021282,88,USA
tt0021283,65,Japan
tt0021287,91,USA
tt0021292,75,USA
tt0021294,65,USA
tt0021295,84,USA
tt0021297,73,USA
tt0021303,75,USA
tt0021304,74,USA
tt0021307,104,USA
tt0021309,63,France
tt0021310,76,USA
tt0021322,82,USA
tt0021324,69,USA
tt0021331,55,France
tt0021335,86,USA
tt0021345,73,USA
tt0021371,80,USA
tt0021374,75,USA
tt0021376,65,USA
tt0021377,81,USA
tt0021381,60,USA
tt0021382,87,USA
tt0021394,64,USA
tt0021400,93,USA
tt0021401,85,USA
tt0021406,65,Japan
tt0021408,70,USA
tt0021409,96,France
tt0021413,69,USA
tt0021420,75,USA
tt0021435,78,USA
tt0021439,63,USA
tt0021464,95,USA
tt0021472,71,USA
tt0021483,86,USA
tt0021486,80,USA
tt0021493,69,USA
tt0021505,72,USA
tt0021508,92,USA
tt0021531,81,USA
tt0021533,71,USA
tt0021534,85,USA
tt0021542,97,Germany
tt0021549,93,USA
tt0021551,64,USA
tt0021568,79,USA
tt0021571,75,Soviet Union
tt0021577,60,France
tt0021580,66,USA
tt0021594,124,India
tt0021595,70,USA
tt0021599,55,USA
tt0021606,70,USA
tt0021607,96,USA
tt0021615,84,USA
tt0021622,108,USA
tt0021632,76,USA
tt0021633,90,USA
tt0021635,90,USA
tt0021636,68,USA
tt0021647,66,USA
tt0021649,82,USA
tt0021654,90,Germany
tt0021657,75,USA
tt0021668,71,USA
tt0021673,79,USA
tt0021681,111,Germany
tt0021684,81,USA
tt0021697,65,USA
tt0021707,63,USA
tt0021725,68,USA
tt0021730,86,USA
tt0021732,72,USA
tt0021733,76,USA
tt0021735,74,USA
tt0021739,91,France
tt0021743,59,USA
tt0021746,123,USA
tt0021749,87,USA
tt0021750,83,USA
tt0021754,90,France
tt0021756,74,USA
tt0021759,95,USA
tt0021761,81,USA
tt0021764,75,USA
tt0021768,65,USA
tt0021770,97,USA
tt0021772,86,USA
tt0021778,80,USA
tt0021780,66,USA
tt0021785,70,USA
tt0021786,85,USA
tt0021793,106,USA
tt0021798,81,USA
tt0021799,100,USA
tt0021800,91,USA
tt0021814,75,USA
tt0021815,104,USA
tt0021818,112,Germany
tt0021820,75,USA
tt0021825,73,USA
tt0021828,77,USA
tt0021829,73,USA
tt0021836,75,Germany
tt0021845,60,USA
tt0021859,74,USA
tt0021861,92,USA
tt0021864,105,France
tt0021865,90,USA
tt0021873,89,USA
tt0021874,89,USA
tt0021879,80,USA
tt0021884,70,USA
tt0021885,93,USA
tt0021889,68,USA
tt0021890,101,USA
tt0021895,226,USA
tt0021900,67,USA
tt0021906,90,USA
tt0021910,80,USA
tt0021917,72,USA
tt0021919,79,USA
tt0021927,71,USA
tt0021928,75,USA
tt0021931,82,USA
tt0021932,82,USA
tt0021933,69,USA
tt0021952,75,USA
tt0021966,53,USA
tt0021969,75,USA
tt0021973,79,USA
tt0021978,70,USA
tt0021985,72,Hungary
tt0021986,70,USA
tt0021988,72,USA
tt0021992,79,USA
tt0022000,92,USA
tt0022001,74,USA
tt0022002,73,USA
tt0022017,93,Germany
tt0022021,76,USA
tt0022026,87,USA
tt0022029,75,USA
tt0022034,85,Germany
tt0022043,70,USA
tt0022046,72,USA
tt0022048,75,Japan
tt0022054,76,USA
tt0022056,72,USA
tt0022059,72,USA
tt0022074,93,USA
tt0022080,114,Brazil
tt0022085,68,USA
tt0022086,85,USA
tt0022100,117,Germany
tt0022103,81,USA
tt0022105,64,Japan
tt0022111,80,USA
tt0022117,84,USA
tt0022119,74,USA
tt0022120,75,USA
tt0022121,97,Germany
tt0022125,130,France
tt0022134,70,USA
tt0022135,72,USA
tt0022139,105,USA
tt0022149,85,USA
tt0022150,81,France
tt0022151,80,USA
tt0022153,90,USA
tt0022158,77,USA
tt0022172,69,USA
tt0022173,76,USA
tt0022177,72,USA
tt0022178,80,USA
tt0022180,87,USA
tt0022183,88,Germany
tt0022185,93,Germany
tt0022191,56,USA
tt0022197,79,USA
tt0022198,95,USA
tt0022208,72,USA
tt0022215,90,Soviet Union
tt0022223,46,France
tt0022235,104,Germany
tt0022236,71,USA
tt0022243,79,USA
tt0022246,77,USA
tt0022251,56,USA
tt0022254,73,USA
tt0022259,63,USA
tt0022261,71,USA
tt0022264,74,USA
tt0022265,62,USA
tt0022268,89,USA
tt0022273,73,USA
tt0022274,56,USA
tt0022276,76,USA
tt0022279,84,USA
tt0022285,69,USA
tt0022286,83,USA
tt0022289,119,Soviet Union
tt0022290,72,USA
tt0022293,64,USA
tt0022296,89,USA
tt0022297,71,USA
tt0022303,77,USA
tt0022308,58,USA
tt0022321,69,USA
tt0022326,75,USA
tt0022331,76,USA
tt0022335,73,USA
tt0022339,81,Mexico
tt0022353,90,USA
tt0022357,83,USA
tt0022360,96,USA
tt0022373,84,UK
tt0022381,66,USA
tt0022382,74,USA
tt0022386,75,USA
tt0022391,74,USA
tt0022395,85,UK
tt0022397,85,USA
tt0022403,81,USA
tt0022404,68,USA
tt0022409,56,USA
tt0022412,73,USA
tt0022418,90,UK
tt0022425,82,USA
tt0022428,107,USA
tt0022430,68,USA
tt0022435,81,USA
tt0022436,80,USA
tt0022437,91,USA
tt0022440,87,USA
tt0022444,93,Germany
tt0022453,76,USA
tt0022454,81,USA
tt0022458,86,USA
tt0022463,83,USA
tt0022469,75,USA
tt0022478,68,USA
tt0022481,64,USA
tt0022484,71,USA
tt0022485,90,Japan
tt0022489,80,USA
tt0022495,122,USA
tt0022500,78,USA
tt0022501,70,USA
tt0022517,80,USA
tt0022523,74,USA
tt0022537,70,Canada
