id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0048324,7.5,280,3,1,7.8,104,7.7,117,5.7,48
tt0048326,7.2,77,0,0,8.7,41,7.5,19,1.6,12
tt0048328,6.8,258,0,0,7.3,3,7.6,37,6.6,210
tt0048331,5.6,119,0,0,7.3,3,6,26,5.4,90
tt0048333,6.2,87,0,0,8.5,2,6.4,11,6.2,72
tt0048336,6.4,557,5,1,6.8,18,6.4,134,6.4,391
tt0048337,7,508,0,0,7.2,15,6.8,97,6.9,386
tt0048338,5.7,83,0,0,7,1,5.3,16,5.9,64
tt0048339,6.7,1001,0,0,6.6,35,6.5,278,6.8,666
tt0048340,6.9,2024,5.5,2,7.1,134,6.8,688,7,1152
tt0048341,6.1,232,0,0,6.9,7,5.9,67,6.2,152
tt0048342,7.4,6487,9,3,7.3,612,7.3,2585,7.4,3106
tt0048346,6.5,330,0,0,6.8,26,6.6,117,6.4,181
tt0048347,7.4,6166,9,1,7.5,708,7.4,2691,7.4,2620
tt0048350,6.2,583,0,0,6.8,13,6.1,119,6.2,435
tt0048351,5.8,118,0,0,0,0,6.5,16,5.7,99
tt0048353,6.6,128,0,0,6.9,7,6.7,51,6.5,69
tt0048355,6,74,0,0,6.5,2,5.4,21,6.2,50
tt0048356,7.7,13255,8.9,5,7.7,1986,7.6,5879,7.7,5028
tt0048358,5.5,173,0,0,7.5,2,5.4,26,5.5,142
tt0048361,7,95,0,0,6.6,7,7.5,43,6.4,44
tt0048362,7.7,587,0,0,7.4,88,7.9,374,6.6,92
tt0048364,6.5,277,0,0,7,2,6.8,34,6.5,233
tt0048380,7.7,9332,8,1,7.3,560,7.3,2740,7.9,5796
tt0048382,7.7,291,0,0,7.9,58,7.8,174,6.5,50
tt0048387,6.7,2138,0,0,6.8,162,6.5,863,6.9,1084
tt0048392,7.1,256,0,0,7.9,48,7.4,129,5.7,67
tt0048393,7.3,5175,7,3,7.6,717,7.3,2614,7,1727
tt0048394,7.7,2129,0,0,7.7,280,7.7,1089,7.6,716
tt0048396,6.1,265,0,0,7,10,6.1,72,6,180
tt0048401,6.7,782,0,0,7,29,6.6,192,6.6,539
tt0048404,5.9,186,0,0,5.2,7,5.8,81,6,95
tt0048411,6.8,416,0,0,7.4,24,6.9,131,6.8,255
tt0048412,6.5,468,0,0,6.7,16,6.5,104,6.5,331
tt0048413,6.2,314,0,0,7,13,6.1,114,6.1,181
tt0048420,5.8,91,0,0,6.8,4,5.6,25,5.9,62
tt0048421,7,319,0,0,9,5,6.9,97,7,208
tt0048423,6,176,0,0,6.2,5,5.7,47,6.2,124
tt0048424,8,53493,8.5,23,8,11032,7.9,27125,8.1,13881
tt0048426,6.3,160,0,0,6.3,7,6.2,46,6.4,104
tt0048429,7.5,166,0,0,7.3,22,7.7,66,7.3,76
tt0048432,6.7,951,0,0,6.8,33,6.6,274,6.7,623
tt0048441,6.1,148,0,0,7,5,5.9,47,6.1,93
tt0048445,6.9,5345,8,1,6.7,474,6.5,1769,7.2,2956
tt0048448,6.2,121,0,0,6.7,3,6.6,30,5.9,83
tt0048452,8.4,8931,8,5,8.6,1913,8.4,4433,8.2,2385
tt0048455,6.9,157,0,0,6.6,10,7.2,84,6.3,60
tt0048458,5.5,155,0,0,6,1,5.3,33,5.6,121
tt0048459,6.6,304,0,0,8,3,6.1,30,6.6,262
