id,votes,rating,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0047479,914,6.9,10,1,7.4,28,7,155,6.9,538
tt0047484,386,6.8,0,0,6.7,21,7,97,6.7,172
tt0047488,393,5.8,0,0,6.1,14,5.6,72,5.8,239
tt0047490,550,6.1,0,0,6.8,18,6.2,106,6.1,308
tt0047494,1321,4.7,0,0,4.1,50,4.7,260,4.8,721
tt0047495,1473,6.9,5,1,6.9,126,6.9,516,6.9,600
tt0047499,168,6.7,0,0,7,18,6.8,75,5.6,49
tt0047501,552,5.7,0,0,6.2,26,5.4,95,5.8,313
tt0047505,659,6.5,0,0,6.7,32,6.5,153,6.4,340
tt0047507,841,3.3,0,0,2.8,52,3.2,244,3.4,372
tt0047508,212,6.2,0,0,6.7,16,6.5,44,5.6,93
tt0047517,266,5.8,0,0,5.2,6,5.9,37,5.9,162
tt0047522,14452,7.6,8,8,7.8,1752,7.4,4532,7.6,5025
tt0047528,54107,8,7.8,12,8,10045,7.9,22833,8.1,10771
tt0047529,362,5.5,0,0,6.3,3,5.4,65,5.5,221
tt0047532,154,6.3,2,1,6.5,67,8,32,3.6,28
tt0047537,718,6.6,0,0,7.1,30,6.6,129,6.6,386
tt0047538,353,6.5,0,0,6.9,57,6.5,144,6.2,73
tt0047542,5611,6.8,0,0,6.9,345,6.7,1516,6.8,2453
tt0047550,1376,6.5,6,1,6.7,81,6.6,323,6.4,661
tt0047556,148,6.1,0,0,6.5,2,6.2,22,6.2,99
tt0047559,939,5.6,5,1,6.2,25,5.5,211,5.6,486
tt0047561,233,7.1,0,0,7.9,43,6.9,80,6.1,57
tt0047562,688,5.7,0,0,5.8,23,5.7,163,5.7,374
tt0047566,175,5.9,0,0,6.3,3,5.7,28,6,104
tt0047567,189,6.1,0,0,6.7,5,6.1,51,6.1,91
