id,title,year,genre
tt0015018,Isn't Life Wonderful,1924,"Drama, Romance"
tt0015022,Janice Meredith,1924,"Drama, History, Romance"
tt0015036,Kean,1924,Drama
tt0015064,Der letzte Mann,1924,Drama
tt0015116,Manhandled,1924,"Drama, Comedy"
tt0015119,The Marriage Circle,1924,Comedy
tt0015136,Michael,1924,"Drama, Romance"
tt0015145,Monsieur Beaucaire,1924,"Drama, Romance"
tt0015163,The Navigator,1924,"Action, Comedy, Romance"
tt0015167,Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,1924,Comedy
tt0015174,Die Nibelungen: Kriemhilds Rache,1924,"Adventure, Drama, Fantasy"
tt0015175,Die Nibelungen: Siegfried,1924,"Adventure, Drama, Fantasy"
tt0015202,Orlacs Hände,1924,"Crime, Horror, Mystery"
tt0015213,Papirosnitsa ot Mosselproma,1924,"Comedy, Romance"
tt0015224,Peter Pan,1924,"Adventure, Fantasy, Family"
tt0015268,The Red Lily,1924,Drama
tt0015289,Romola,1924,"Drama, History"
tt0015310,The Sea Hawk,1924,"Adventure, Drama, Romance"
tt0015312,Secrets,1924,Drama
tt0015324,Sherlock Jr.,1924,"Action, Comedy, Romance"
tt0015361,Stachka,1925,Drama
tt0015400,The Thief of Bagdad,1924,"Adventure, Family, Fantasy"
tt0015493,The White Shadow,1924,Drama
tt0015498,Wild Oranges,1924,"Drama, Romance"
tt0015500,Wine of Youth,1924,"Comedy, Drama"
tt0015518,Yolanda,1924,Romance
tt0015532,Die Abenteuer des Prinzen Achmed,1926,"Animation, Adventure, Fantasy"
tt0015624,The Big Parade,1925,"Drama, Romance, War"
tt0015634,Body and Soul,1925,Drama
tt0015643,Braveheart,1925,Western
tt0015648,Bronenosets Potemkin,1925,"Drama, History, Thriller"
tt0015684,The Circle,1925,Drama
tt0015687,Clash of the Wolves,1925,"Adventure, Romance, Western"
tt0015693,Cobra,1925,"Drama, Romance"
tt0015758,Don Q Son of Zorro,1925,"Adventure, Romance"
tt0015768,Du skal ære din hustru,1925,Drama
tt0015772,The Eagle,1925,"Action, Comedy, Drama"
tt0015794,Le fantôme du Moulin-Rouge,1925,"Drama, Fantasy"
tt0015801,Feu Mathias Pascal,1926,Drama
tt0015841,The Freshman,1925,"Comedy, Family, Romance"
tt0015842,Die freudlose Gasse,1925,Drama
tt0015861,Glomdalsbruden,1926,"Drama, Romance"
tt0015863,Go West,1925,"Comedy, Western"
tt0015864,The Gold Rush,1925,"Adventure, Comedy, Drama"
tt0015872,The Goose Woman,1925,Drama
tt0015881,Greed,1924,"Drama, Thriller, Western"
tt0015883,Gribiche,1926,Drama
tt0015909,Her Sister from Paris,1925,Comedy
tt0015935,El húsar de la muerte,1925,"Biography, Drama, History"
tt0016004,Lady Windermere's Fan,1925,Comedy
tt0016005,Lady of the Night,1925,"Drama, Romance"
tt0016006,The Lady,1925,Drama
tt0016013,Lazybones,1925,"Action, Comedy, Drama"
tt0016023,Lights of Old Broadway,1925,"Drama, Romance"
