id,director
tt0018770,Jean Epstein
tt0018773,Charles Chaplin
tt0018795,George W. Hill
tt0018806,King Vidor
tt0018826,René Clair
tt0018836,Victor Sjöström
tt0018839,Josef von Sternberg
tt0018841,Boris Barnet
tt0018862,Nikoloz Shengelaia
tt0018876,Alfred Hitchcock
tt0018879,Howard Hawks
tt0018882,Gregory La Cava
tt0018907,F.W. Murnau
tt0018908,Merian C. Cooper
tt0018909,John Ford
tt0018910,William Nigh
tt0018927,Lewis Milestone
tt0018935,William Dieterle
tt0018937,Howard Hawks
tt0018972,John Ford
tt0018990,Joe May
tt0018996,Maurice Elvey
tt0019043,Teinosuke Kinugasa
tt0019067,Robert Z. Leonard
tt0019071,Josef von Sternberg
tt0019074,Herbert Brenon
tt0019096,Bryan Foy
tt0019098,George Fitzmaurice
tt0019109,Pál Fejös
tt0019127,Jean Grémillon
tt0019130,Paul Leni
tt0019151,Frank Capra
tt0019152,James Cruze
tt0019182,John Ford
tt0019186,Ewald André Dupont
tt0019195,Fred Niblo
tt0019237,Harry Beaumont
tt0019254,Carl Theodor Dreyer
tt0019258,King Vidor
tt0019286,Vsevolod Pudovkin
tt0019290,Frank Capra
tt0019304,Lewis Milestone
tt0019325,John Ford
tt0019344,Raoul Walsh
tt0019374,Franz Osten
tt0019379,King Vidor
tt0019388,Lloyd Bacon
tt0019400,Jack Conway
tt0019412,Ted Wilde
tt0019415,Fritz Lang
tt0019421,Charles Reisner
tt0019429,Frank Borzage
tt0019434,Frank Capra
tt0019451,Sam Taylor
tt0019462,Frank Capra
tt0019480,Jean Renoir
tt0019489,Clarence Brown
tt0019509,Anthony Asquith
tt0019532,Roy William Neill
tt0019553,Victor Fleming
tt0019557,Frank Lloyd
tt0019558,Erich von Stroheim
tt0019563,Tod Browning
tt0019571,Jack Conway
tt0019574,W.S. Van Dyke
tt0019585,Victor Sjöström
tt0019591,Clarence Brown
tt0019609,Fyodor Otsep
tt0019611,Aleksandr Dovzhenko
tt0019629,Florián Rey
tt0019630,Roland West
tt0019644,Rouben Mamoulian
tt0019646,Marcel L'Herbier
tt0019649,Aleksandr Dovzhenko
